horizon_h,bin_low_cents,n,yes_wins,avg_mid
0,0,4925,9,0.020975634517766927
0,5,551,10,0.06817604355716884
0,10,174,7,0.12103448275862079
0,15,100,8,0.17155
0,20,67,5,0.21985074626865672
0,25,37,5,0.2725675675675676
0,30,24,6,0.3195833333333334
0,35,19,3,0.3723684210526315
0,40,17,5,0.41647058823529415
0,45,9,4,0.4794444444444444
0,50,11,3,0.5272727272727272
0,55,20,11,0.5742500000000001
0,60,9,6,0.6244444444444446
0,65,12,9,0.6749999999999999
0,70,20,15,0.72275
0,75,23,23,0.7736956521739131
0,80,42,42,0.8289285714285716
0,85,83,79,0.8757831325301204
0,90,259,256,0.9284555984555974
0,95,3815,3810,0.9803997378768106
1,0,382,0,0.02045811518324599
1,5,16,0,0.065625
1,10,12,3,0.12416666666666666
1,15,11,0,0.17363636363636364
1,20,6,0,0.21500000000000005
1,25,6,2,0.2675
1,35,4,3,0.37250000000000005
1,40,5,4,0.42700000000000005
1,45,5,0,0.472
1,50,4,1,0.5237499999999999
1,55,2,1,0.5625
1,60,1,1,0.635
1,65,9,9,0.675
1,70,3,2,0.7183333333333333
1,75,4,4,0.7675
1,80,7,6,0.8257142857142857
1,85,5,5,0.8699999999999999
1,90,9,9,0.9338888888888888
1,95,229,229,0.9816593886462905
6,0,281,0,0.02297153024911027
6,5,47,1,0.06999999999999998
6,10,30,5,0.12266666666666669
6,15,25,3,0.17240000000000003
6,20,17,2,0.22058823529411764
6,25,14,2,0.26892857142857146
6,30,4,1,0.3125
6,35,10,4,0.37
6,40,6,3,0.42250000000000004
6,45,10,4,0.469
6,50,8,5,0.520625
6,55,11,7,0.5713636363636364
6,60,6,5,0.6133333333333334
6,65,7,6,0.6771428571428572
6,70,11,10,0.7259090909090908
6,75,9,4,0.7750000000000001
6,80,11,10,0.8240909090909091
6,85,10,9,0.8724999999999999
6,90,23,21,0.9306521739130437
6,95,174,174,0.9789080459770121
24,0,58,1,0.031637931034482744
24,5,84,3,0.07434523809523808
24,10,41,5,0.11609756097560979
24,15,16,3,0.165625
24,20,6,1,0.21583333333333332
24,25,3,0,0.27166666666666667
24,30,1,1,0.33
24,35,6,1,0.3658333333333334
24,40,3,1,0.4266666666666667
24,45,2,1,0.45499999999999996
24,50,2,2,0.5
24,60,1,1,0.6
24,65,2,1,0.6675
24,70,2,2,0.72
24,75,6,5,0.7658333333333333
24,80,2,2,0.8125
24,85,8,8,0.885
24,90,20,19,0.93
24,95,29,29,0.9624137931034479
