mid_decile,n,avg_spread,avg_round_trip_fee,avg_breakeven_move
0,1124089,0.02007730704597234,0.005886344269003612,0.02596365131497595
1,365535,0.027358365136033486,0.016348606904947546,0.04370697204098103
2,160411,0.03568726583588407,0.025841697773220047,0.06152896360910412
3,134125,0.059489431500465983,0.03165644599440821,0.0911458774948742
4,132448,0.07236319159217201,0.0344797193238101,0.10684291091598212
5,131695,0.05466274346026804,0.03458800467367782,0.08925074813394587
6,136638,0.03870299623823534,0.03181419747800759,0.07051719371624292
7,135446,0.02507205823723109,0.026154446661400117,0.0512265048986312
8,191724,0.0277707016335983,0.017310570358953496,0.0450812719925518
9,570089,0.019881053660042555,0.005850889893507859,0.02573194355355041
