date,n_snaps,uniq_tickers,uniq_quoted
2026-07-30,304167,384,315
2026-07-31,375356,797,610
2026-08-01,359915,794,562
2026-08-02,474916,3266,797
2026-08-03,484577,3528,956
2026-08-04,478201,3593,973
2026-08-05,479463,3621,906
2026-08-06,463577,3061,670
2026-08-07,427656,4092,816
2026-08-08,465878,4196,568
2026-08-09,463530,3889,606
2026-08-10,467760,3771,865
2026-08-11,468683,3733,755
2026-08-12,471219,3610,770
2026-08-13,456140,3250,646
2026-08-14,425247,4269,760
2026-08-15,451844,4068,531
2026-08-16,451233,4205,545
2026-08-17,88831,972,265
