mid_decile,spread_cents,n,avg_bid_size,avg_ask_size
0,1,573800,1079.0551913035902,2396.1529583304286
0,2,264032,2117.8421730320565,2090.625445476306
0,3,164676,2969.6583810634215,1895.7249734023173
0,4,53877,3585.2600709022404,2860.2245655845722
0,5,20375,2780.5133590184046,1783.4199440490797
0,6,15760,3638.3108305837563,820.0594873096446
0,7,12869,3319.5364667029294,2031.4634081902248
0,8,9836,4066.650285685238,2042.0915839772265
0,9,6613,4010.5986435808254,3491.402222894299
0,10,1383,4982.815104844541,3546.4461026753434
0,11,372,4266.655483870968,825.9369354838709
0,12,77,12026.955584415584,518.0515584415584
0,13,28,145.7107142857143,629.2346428571428
0,14,22,159.63636363636363,344.1818181818182
0,15,15,20.666666666666668,560.9333333333333
0,16,2,36.65,96.97
0,17,2,5000.0,4.5
1,1,124094,1636.1239030090094,1646.8433184521411
1,2,100006,1566.5315056096633,1708.8220603763773
1,3,64535,1711.7434296118386,2043.968068799876
1,4,35948,1721.0235907421832,2241.1471586736398
1,5,11952,1537.7179928045514,2264.793560910308
1,6,5836,1204.5469653872515,1494.3172755311857
1,7,4627,655.1782277933867,716.2721223254808
1,8,5544,1170.3506096681097,1130.0005573593073
1,9,3865,2005.5188589909442,1527.6419430789133
1,10,3811,2459.713684072422,520.748144843873
1,11,1561,2559.435733504164,2128.820589365791
1,12,800,930.2013250000001,444.96783750000003
1,13,185,1893.6147027027025,1945.9363243243242
1,14,72,1038.2780555555555,385.7655555555555
1,15,146,1833.9477397260273,98.97869863013699
1,16,157,2329.9689808917196,11.662420382165605
1,17,25,1059.8784,256.8888
1,18,28,479.7975,507.1671428571429
1,19,10,1178.1,60.92100000000001
1,20,660,69.54242424242425,18.96618181818182
1,21,19,2092.961052631579,1338.7584210526315
1,22,32,32.2040625,12.8796875
1,23,214,123.2481308411215,6.255981308411215
1,24,114,103.08368421052633,64.4811403508772
1,25,3,130.08666666666667,60.0
1,26,8,43.5,82.325
1,27,363,79.33666666666666,7.285509641873278
1,28,7,8.497142857142856,72.85714285714286
1,29,75,6685.52,59.93266666666666
1,30,4,95.5,508.4975
1,31,6,839.6666666666666,185.83333333333334
1,32,3,106.72000000000001,50.14333333333334
1,33,28,547.6778571428571,28.25
1,34,386,7303.886010362694,14.459119170984456
1,35,4,88.9325,213.25
1,36,39,277.8135897435897,42.256410256410255
1,37,200,260.255,10.62
2,1,59756,1753.4640419372115,1959.1304083271973
2,2,42202,1984.6618942230227,2168.6101632624045
2,3,27658,1838.5497747487166,2080.4429300744814
2,4,13454,1597.1782845250484,1846.7030147168127
2,5,5150,1496.407081553398,1644.198081553398
2,6,2137,1174.483940102948,1106.2547449695835
2,7,916,1198.1409279475984,571.0996288209607
2,8,936,1665.6572222222221,592.358920940171
2,9,899,2563.116941045606,1579.231001112347
2,10,578,1884.0971626297576,1562.6615051903113
2,11,447,3925.9337583892616,2040.6835794183446
2,12,422,2429.580213270142,2240.3084123222748
2,13,35,3613.542857142857,3868.2282857142854
2,14,372,60.23553763440861,121.8962365591398
2,15,3,2220.433333333333,103.33333333333333
2,16,9,171.81666666666666,92.4588888888889
2,17,70,83.87100000000001,130.31428571428572
2,18,4,94.425,1265.25
2,19,74,14.485945945945947,72.61540540540541
2,20,7,86.85714285714286,281.14285714285717
2,21,116,121.51258620689654,502.8103448275862
2,22,10,1021.0,795.242
2,23,14,1810.7900000000002,70.0
2,24,80,18.725625,15.365375
2,25,131,17.202900763358777,5.3893129770992365
2,26,72,41.80125,165.23611111111111
2,27,221,130.9814932126697,66.76923076923077
2,28,168,43.2535119047619,111.44047619047619
2,29,858,141.26048951048952,66.99264568764569
2,30,112,139.89464285714286,2.857142857142857
2,31,153,15.202222222222222,30.834640522875816
2,32,35,46.35,166.37142857142857
2,33,369,8.334769647696477,16.758807588075882
2,34,56,186.69,115.57089285714287
2,35,133,3.9866165413533836,117.41353383458646
