ticker,series,strategy,yes_ask,entry_price,pnl
KXBTCD-26JUL3104-T63999.99,KXBTCD,fade_no,0.06,0.95,0.04667500000000004
KXBTCD-26JUL3104-T63999.99,KXBTCD,lotto_yes,0.06,0.06,-0.063948
KXBTCD-26JUL3103-T64299.99,KXBTCD,fade_no,0.15,0.86,0.13157200000000002
KXBTCD-26JUL3103-T64299.99,KXBTCD,lotto_yes,0.15,0.15,-0.15892499999999998
KXBTCD-26JUL3102-T64399.99,KXBTCD,fade_no,0.03,0.98,0.018628000000000016
KXBTCD-26JUL3102-T64399.99,KXBTCD,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTCD-26JUL3102-T64299.99,KXBTCD,fade_no,0.15,0.86,0.13157200000000002
KXBTCD-26JUL3102-T64299.99,KXBTCD,lotto_yes,0.15,0.15,-0.15892499999999998
KXBTC-26JUL3104-B64250,KXBTC,fade_no,0.03,0.98,0.018628000000000016
KXBTC-26JUL3104-B64250,KXBTC,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTC-26JUL3103-B64350,KXBTC,fade_no,0.15,0.89,0.10314699999999999
KXBTC-26JUL3103-B64350,KXBTC,lotto_yes,0.15,0.15,-0.15892499999999998
KXBTC-26JUL3102-B64450,KXBTC,fade_no,0.04,0.98,0.018628000000000016
KXBTC-26JUL3102-B64450,KXBTC,lotto_yes,0.04,0.04,-0.042688000000000004
KXBTC-26JUL3102-B64350,KXBTC,fade_no,0.14,0.9,0.09369999999999998
KXBTC-26JUL3102-B64350,KXBTC,lotto_yes,0.14,0.14,-0.148428
KXETHD-26JUL3120-T1864.99,KXETHD,fade_no,0.06,0.95,0.04667500000000004
KXETHD-26JUL3120-T1864.99,KXETHD,lotto_yes,0.06,0.06,-0.063948
KXETHD-26JUL3120-T1859.99,KXETHD,fav_yes,0.85,0.85,0.141075
KXETHD-26JUL3119-T1864.99,KXETHD,fade_no,0.09,0.9299999999999999,0.06544300000000006
KXETHD-26JUL3119-T1864.99,KXETHD,lotto_yes,0.09,0.09,-0.095733
KXETHD-26JUL3119-T1859.99,KXETHD,fav_yes,0.91,0.91,0.08426699999999997
KXETHD-26JUL3118-T1864.99,KXETHD,fade_no,0.05,0.96,0.03731200000000003
KXETHD-26JUL3118-T1864.99,KXETHD,lotto_yes,0.05,0.05,-0.053325000000000004
KXSOLD-26JUL3120-T72.9999,KXSOLD,fade_no,0.05,0.97,0.027963000000000026
KXSOLD-26JUL3120-T72.9999,KXSOLD,lotto_yes,0.05,0.05,-0.053325000000000004
KXSOLD-26JUL3120-T72.7499,KXSOLD,fav_yes,0.87,0.87,0.122083
KXSOLD-26JUL3119-T72.9999,KXSOLD,fade_no,0.15,0.89,0.10314699999999999
KXSOLD-26JUL3119-T72.9999,KXSOLD,lotto_yes,0.15,0.15,-0.15892499999999998
KXSOLD-26JUL3119-T72.7499,KXSOLD,fav_yes,0.9,0.9,0.09369999999999998
KXSOLD-26JUL3118-T73.2499,KXSOLD,fade_no,0.03,0.99,0.009307000000000008
KXSOLD-26JUL3118-T73.2499,KXSOLD,lotto_yes,0.03,0.03,-0.032036999999999996
KXSOLD-26JUL3118-T72.7499,KXSOLD,fav_yes,0.97,0.97,-0.9720369999999999
KXBTCD-26AUG0103-T63099.99,KXBTCD,fade_no,0.05,0.96,0.03731200000000003
KXBTCD-26AUG0103-T63099.99,KXBTCD,lotto_yes,0.05,0.05,-0.053325000000000004
KXBTCD-26AUG0102-T62999.99,KXBTCD,fade_no,0.18,0.83,0.16012300000000004
KXBTCD-26AUG0102-T62999.99,KXBTCD,lotto_yes,0.18,0.18,-0.190332
KXBTCD-26AUG0102-T62899.99,KXBTCD,fav_yes,0.93,0.93,0.06544299999999996
KXBTCD-26AUG0101-T63099.99,KXBTCD,fade_no,0.03,0.98,0.018628000000000016
KXBTCD-26AUG0101-T63099.99,KXBTCD,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTCD-26AUG0117-T62749.99,KXBTCD,fade_no,0.03,0.98,0.018628000000000016
KXBTCD-26AUG0117-T62749.99,KXBTCD,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTCD-26AUG0117-T62499.99,KXBTCD,fav_yes,0.8,0.8,0.18879999999999997
KXBTCD-26AUG0100-T62999.99,KXBTCD,fade_no,0.09,0.92,0.07484799999999996
KXBTCD-26AUG0100-T62999.99,KXBTCD,lotto_yes,0.09,0.09,-0.095733
KXBTCD-26AUG0100-T62899.99,KXBTCD,fav_yes,0.88,0.88,0.112608
KXBTCD-26JUL3123-T63099.99,KXBTCD,fade_no,0.03,0.98,0.018628000000000016
KXBTCD-26JUL3123-T63099.99,KXBTCD,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTCD-26JUL3122-T62999.99,KXBTCD,fade_no,0.03,0.98,0.018628000000000016
KXBTCD-26JUL3122-T62999.99,KXBTCD,lotto_yes,0.03,0.03,-0.032036999999999996
KXBTCD-26JUL3121-T62999.99,KXBTCD,fade_no,0.1,0.92,0.07484799999999996
