hour_et,n_snaps,frac_two_sided,avg_spread
0,329882,0.4142572192480948,0.024044169301018617
1,326304,0.4209540796312641,0.025014960796161882
2,324080,0.41955689953098,0.025479811723174227
3,321102,0.39161076542656226,0.05180839304317399
4,325190,0.3861281097204711,0.05533707641460598
5,326069,0.39633635825546126,0.03052788374486393
6,330875,0.3917612391386475,0.029687480713448126
7,330083,0.391592417664648,0.03123814386730415
8,328784,0.4072217626161857,0.026673936424474187
9,333135,0.41044021192609603,0.02649240850715268
10,331336,0.40043037882994903,0.0263672678761202
11,324564,0.3894054793507598,0.0251283755449532
12,328775,0.37374192076648166,0.025607965689266505
13,381639,0.3147765296523678,0.028545171521089475
14,390415,0.29546764340509457,0.026234233453253
15,390169,0.27765147923079486,0.026454754410094986
16,341865,0.29485030640750004,0.03251113602317483
17,323407,0.3916581892166836,0.02672624639797892
18,323852,0.4090757506515322,0.025466259057971015
19,330040,0.4084747303357169,0.024140846950961702
20,325081,0.41818193004205106,0.024106647639084027
21,326795,0.4126134120779082,0.024469890240284783
22,334762,0.40924298456814096,0.02468222395783911
23,329754,0.405972330889087,0.024898820506308313
